Year,CommodityCode,CropName,CountyCode,County,HarvestedAcres,Yield(Unit/Acre),Production,Price(Dollars/Unit),Unit, Value(Dollars) 
1983,216299,GRAPESWINE,57,Nevada,,,23,500,TONS,"$11,500.00 "
1983,216299,GRAPESWINE,61,Placer,129,2,258,265,TONS,"$68,400.00 "
1983,216299,GRAPESWINE,65,Riverside,2583,4.12,10642,275,TONS,"$2,923,100.00 "
1983,216299,GRAPESWINE,67,Sacramento,3610,5.6,20200,170,TONS,"$3,434,000.00 "
1983,216299,GRAPESWINE,69,SanBenito,3950,3.4,13430,420,TONS,"$5,641,000.00 "
1983,216299,GRAPESWINE,71,SanBernardino,6600,2.59,17070,120,TONS,"$2,049,000.00 "
1983,216299,GRAPESWINE,73,SanDiego,213,1.9,405,415,TONS,"$168,000.00 "
1983,216299,GRAPESWINE,77,SanJoaquin,34350,6.32,217000,228,TONS,"$49,465,000.00 "
1983,216299,GRAPESWINE,79,SanLuisObispo,4977,3.9,19410,432,TONS,"$8,385,000.00 "
1983,216299,GRAPESWINE,83,SantaBarbara,8452,2.47,20876,563,TONS,"$11,750,683.00 "
1983,216299,GRAPESWINE,85,SantaClara,1645,2,3290,350,TONS,"$1,152,000.00 "
1983,216299,GRAPESWINE,87,SantaCruz,97,1.27,123,821,TONS,"$101,000.00 "
1983,216299,GRAPESWINE,95,Solano,1136,4.69,5329,261,TONS,"$1,389,100.00 "
1983,216299,GRAPESWINE,97,Sonoma,25541,3.14,80201,543,TONS,"$43,514,100.00 "
1983,216299,GRAPESWINE,99,Stanislaus,16312,7.51,122500,147,TONS,"$17,975,000.00 "
1983,216299,GRAPESWINE,107,Tulare,14045,9.04,127000,166,TONS,"$21,050,000.00 "
1983,216299,GRAPESWINE,113,Yolo,939,7.12,6686,285,TONS,"$1,906,000.00 "
1982,216299,GRAPESWINE,1,Alameda,1610,3.93,6326,528,TONS,"$3,342,000.00 "
1982,216299,GRAPESWINE,5,Amador,1154,3.46,3988,441,TONS,"$1,758,600.00 "
1982,216299,GRAPESWINE,9,Calaveras,77,1.82,140,400,TONS,"$56,000.00 "
1982,216299,GRAPESWINE,17,ElDorado,245,3.25,796,417,TONS,"$331,800.00 "
1982,216299,GRAPESWINE,19,Fresno,31691,11.19,354600,153,TONS,"$54,187,000.00 "
1982,216299,GRAPESWINE,21,Glenn,875,6.75,5906,150,TONS,"$886,000.00 "
1982,216299,GRAPESWINE,29,Kern,31972,10.43,333370,146,TONS,"$48,744,000.00 "
1982,216299,GRAPESWINE,31,Kings,1074,10.55,11331,124,TONS,"$1,405,045.00 "
1982,216299,GRAPESWINE,33,Lake,2616,3.27,8556,498,TONS,"$4,260,130.00 "
