Date,Oil Price
Jan/07,54.570
Feb/07,59.260
Mar/07,60.560
Apr/07,63.970
May/07,63.460
Jun/07,67.480
Jul/07,74.180
Aug/07,72.390
Sep/07,79.930
Oct/07,86.200
Nov/07,94.620
Dec/07,91.730
Jan/08,92.950
Feb/08,95.350
Mar/08,105.560
Apr/08,112.570
May/08,125.390
Jun/08,133.930
Jul/08,133.440
Aug/08,116.610
Sep/08,103.900
Oct/08,76.650
Nov/08,57.440
Dec/08,41.020
Jan/09,41.740
Feb/09,39.160
Mar/09,47.980
Apr/09,49.790
May/09,59.160
Jun/09,69.680
Jul/09,64.090
Aug/09,71.060
Sep/09,69.460
Oct/09,75.820
Nov/09,78.080
Dec/09,74.300
Jan/10,78.220
Feb/10,76.420
Mar/10,81.240
Apr/10,84.480
May/10,73.840
Jun/10,75.350
Jul/10,76.370
Aug/10,76.820
Sep/10,75.310
Oct/10,81.900
Nov/10,84.140
Dec/10,89.040
Jan/11,89.420
Feb/11,89.580
Mar/11,102.940
Apr/11,110.040
May/11,101.330
Jun/11,96.290
Jul/11,97.190
Aug/11,86.330
Sep/11,85.610
Oct/11,86.410
Nov/11,97.210
Dec/11,98.570
Jan/12,100.240
Feb/12,102.250
Mar/12,106.190
Apr/12,103.330
May/12,94.700
Jun/12,82.410
Jul/12,87.930
Aug/12,94.160
Sep/12,94.720
Oct/12,89.570
Nov/12,86.660
Dec/12,88.250
Jan/13,94.690
Feb/13,95.320
Mar/13,93.050
Apr/13,92.070
May/13,94.800
Jun/13,95.800
Jul/13,104.610
Aug/13,106.570
Sep/13,106.290
Oct/13,100.540
Nov/13,93.860
Dec/13,97.630
Jan/14,94.620
Feb/14,100.820
Mar/14,100.800
Apr/14,102.070
May/14,102.180
Jun/14,105.790
Jul/14,103.590
Aug/14,96.540
Sep/14,93.210
Oct/14,84.400
Nov/14,75.790
Dec/14,59.290
Jan/15,47.220
Feb/15,50.580
Mar/15,47.820
Apr/15,54.450
May/15,59.270
Jun/15,59.820
Jul/15,50.900
Aug/15,42.870
Sep/15,45.480
Oct/15,46.220
Nov/15,42.440
Dec/15,37.190
Jan/16,31.680
Feb/16,30.320
Mar/16,37.550
Apr/16,40.750
May/16,46.710
Jun/16,48.760
Jul/16,44.650
Aug/16,44.720
Sep/16,45.180
Oct/16,49.780
Nov/16,45.660
Dec/16,51.970
Jan/17,52.500
Feb/17,53.470
Mar/17,49.330
Apr/17,51.060
May/17,48.480
Jun/17,45.180
Jul/17,46.630
Aug/17,48.040
Sep/17,49.820
Oct/17,51.580
Nov/17,56.640
Dec/17,57.880
Jan/18,63.700
Feb/18,62.230
Mar/18,62.730
Apr/18,66.250
May/18,69.980
Jun/18,67.870
Jul/18,70.980
Aug/18,68.060
Sep/18,70.230
Oct/18,70.750
Nov/18,56.960
Dec/18,49.520
Jan/19,51.380
Feb/19,54.950
Mar/19,58.150
Apr/19,63.860
May/19,60.830
Jun/19,54.660
Jul/19,57.350
Aug/19,54.810
Sep/19,56.950
Oct/19,53.960
Nov/19,57.030
Dec/19,59.880
Jan/20,57.520
Feb/20,50.540
Mar/20,29.210
Apr/20,16.550
May/20,28.560
Jun/20,38.310
Jul/20,40.710
Aug/20,42.340
Sep/20,39.630
Oct/20,39.400
Nov/20,40.940
Dec/20,47.020
Jan/21,52.000
Feb/21,59.040
Mar/21,62.330
Apr/21,61.720
May/21,65.170
Jun/21,71.380
Jul/21,72.490
Aug/21,67.730
Sep/21,71.650
Oct/21,81.480
Nov/21,79.150
Dec/21,71.710
