DATE,IPG2211A2N
6/1/2009,96.0927
7/1/2009,102.6075
8/1/2009,104.4175
9/1/2009,93.6702
10/1/2009,88.0427
11/1/2009,88.118
12/1/2009,109.2174
1/1/2010,117.4617
2/1/2010,109.0941
3/1/2010,96.8704
4/1/2010,84.9695
5/1/2010,89.4856
6/1/2010,102.913
7/1/2010,111.4444
8/1/2010,111.5592
9/1/2010,98.8348
10/1/2010,87.7316
11/1/2010,91.4442
12/1/2010,112.8216
1/1/2011,117.9545
2/1/2011,105.8868
3/1/2011,97.6997
4/1/2011,88.0188
5/1/2011,88.7413
6/1/2011,101.3861
7/1/2011,113.2116
8/1/2011,112.0615
9/1/2011,98.091
10/1/2011,88.9715
11/1/2011,92.3447
12/1/2011,105.7236
1/1/2012,110.1604
2/1/2012,101.7958
3/1/2012,92.0064
4/1/2012,86.1443
5/1/2012,91.3812
6/1/2012,99.7285
7/1/2012,111.6887
8/1/2012,108.5175
9/1/2012,95.4505
10/1/2012,88.9094
11/1/2012,92.8006
12/1/2012,103.4479
1/1/2013,113.5071
2/1/2013,104.8574
3/1/2013,101.1329
4/1/2013,89.2569
5/1/2013,89.342
6/1/2013,99.156
7/1/2013,108.7058
8/1/2013,106.7992
9/1/2013,97.8549
10/1/2013,90.2942
11/1/2013,95.5319
12/1/2013,111.6488
1/1/2014,122.1637
2/1/2014,110.9915
3/1/2014,102.8514
4/1/2014,88.4561
5/1/2014,90.4845
6/1/2014,100.1192
7/1/2014,107.0056
8/1/2014,106.7661
9/1/2014,98.9205
10/1/2014,90.7576
11/1/2014,97.6276
12/1/2014,107.3469
1/1/2015,118.1361
2/1/2015,114.4006
3/1/2015,102.4651
4/1/2015,87.8212
5/1/2015,89.3394
6/1/2015,101.3484
7/1/2015,110.3072
8/1/2015,109.1045
9/1/2015,100.2717
10/1/2015,89.6221
11/1/2015,90.8273
12/1/2015,100.7877
1/1/2016,115.1434
2/1/2016,104.3731
3/1/2016,92.8182
4/1/2016,86.8351
5/1/2016,88.1213
6/1/2016,101.8612
7/1/2016,112.4736
8/1/2016,113.7734
9/1/2016,100.7221
10/1/2016,89.5068
11/1/2016,91.2292
12/1/2016,112.3141
1/1/2017,114.8282
2/1/2017,98.2191
3/1/2017,99.6408
4/1/2017,85.9106
5/1/2017,89.2053
6/1/2017,99.1945
7/1/2017,109.851
8/1/2017,106.3876
9/1/2017,95.8052
10/1/2017,90.806
